OID,NDVI_center,Building_Coverage,Weighted_Height,SPEED_M_s_,ALT_M_,NR_TAC,NR_PCI,Base_Central_frequency_point,Base_Electronic_downtilt,Base_Mechanical_downtilt,Base_Power,Match_Dist,DEM_center,True_3D_Dist,Building_Coverage,Match_Angle_sin,Match_Angle_cos,Base_Direction_angle_sin,Base_Direction_angle_cos,NR_BAND_enc,Base_Bandwidth_enc,log_Match_Dist,log_True_3D_Dist,Power_to_Dist_ratio,Match_Dist_bin,SS_RSRP
27,0.681819975,0,0,41.75333333,357,10121472,981,636664,6,2,24,1859.611069,256,1860.993333,-5.72E-17,-0.366576475,-0.930387923,0,1,1,0,7.528660244,7.529402877,0.012905924,9,-81.33333333
28,0.705747008,0,0,41.59166667,368.8333333,10121472,61,636664,6,2,24,1839.452572,259,1840.586667,-8.72E-17,-0.80560978,-0.592446523,-0.5,-0.866025404,1,0,7.517766783,7.518382798,0.01304736,9,-80.83333333
29,0.711113989,0,0,40.75333333,382.6666667,10121472,548,426000,6,2,3,2965.026818,259,2965.74,-1.50E-17,0.07794017,-0.996958038,-0.866025404,0.5,0,1,7.994978564,7.995218986,0.001011795,9,-83.66666667
30,0.715941012,0,0,43.61,375.4,10121472,61,636664,6,12,24,733.6108523,257,734.666,-1.61E-17,-0.178909871,0.983865468,-0.5,-0.866025404,1,0,6.599340906,6.600776211,0.032714892,7,-81.2
31,0.711283982,0,0,35.96363636,339.8181818,10121472,61,636664,6,12,24,790.8340159,255,792.6709091,-2.28E-17,-0.959634696,0.281249446,-0.5,-0.866025404,1,0,6.674351794,6.676668903,0.030347708,7,-84.36363636
32,0.69354099,0,0,36.76142857,341.5714286,10121472,61,636664,6,12,24,785.0308177,257,787.0214286,-1.92E-17,-0.886463055,0.462799366,-0.5,-0.866025404,1,0,6.666996,6.669525283,0.030572048,7,-83.57142857
33,0.687363029,0,0,39.404,358.6,10121472,61,636664,6,12,24,739.4199314,261,741.068,6.35E-18,-0.771634373,0.636066345,-0.5,-0.866025404,1,0,6.6072175,6.609440883,0.032457875,7,-80.8
34,0.681802988,0,0,46.04333333,381,10121472,61,636664,6,12,24,701.3312921,265,702.07,1.36E-17,-0.962757997,0.27036464,-0.5,-0.866025404,1,0,6.554405219,6.55545646,0.034220632,7,-80.33333333
35,0.694993019,0,0,45.92333333,384.3333333,10121472,61,636664,6,12,24,708.5485918,269,709.36,2.25E-17,-0.964971378,0.26235518,-0.5,-0.866025404,1,0,6.564628982,6.565771884,0.033872059,7,-82.66666667
36,0.675004005,0,0,43.3375,393.25,10116864,981,636664,6,2,24,688.8295922,275,689.48,4.81E-17,-0.635899675,-0.77177173,0,1,1,0,6.536444599,6.537387008,0.034841709,7,-78.5
37,0.66741699,0,0,43.114,390.8,10121472,76,636664,6,2,24,833.5004832,279,836.01,7.14E-17,0.704640923,-0.70956407,-0.64278761,-0.766044443,1,0,6.726833322,6.729836018,0.028794224,7,-84.2
